UID,Email,First,Middle Name,Last,Sex,Employee No,Badge No,Birth Date,Marital Status,Home Phone,Address1,Address2,City,State,Postal Code,Country,Status,Hire Date,Department,Position,Shift,Building,Reports To,Pay Type,Payroll No,Annual Base,Base Rate,SSN,Generation,Mobile Phone,Rehire Date,Ethnic Origin,Union Status,Contracted Employee,Default Cost Sub Type,Supplier,Contract Start Date,Track Time,Prevent Points,Main Menu Node,Termination Date,Last Hire Date,Pay Effective Date,Company Code,Employee Type,Vested Date,Termination Cause,Termination Category,Eligibility Date,Seniority Date,Common Name,Role,Position Effective Date,Backup Supervisor,User Only,User Note
01MESUser01,,01MES,,User01,,,01001,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02MESUser02,,02MES,,User02,,,01002,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03MESUser03,,03MES,,User03,,,01003,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04MESUser04,,04MES,,User04,,,01004,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05MESUser05,,05MES,,User05,,,01005,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06MESUser06,,06MES,,User06,,,01006,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07MESUser07,,07MES,,User07,,,01007,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08MESUser08,,08MES,,User08,,,01008,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09MESUser09,,09MES,,User09,,,01009,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10MESUser10,,10MES,,User10,,,01010,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11MESUser11,,11MES,,User11,,,01011,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MESUser12,,12MES,,User12,,,01012,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13MESUser13,,13MES,,User13,,,01013,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MESUser14,,14MES,,User14,,,01014,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15MESUser15,,15MES,,User15,,,01015,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16MESUser16,,16MES,,User16,,,01016,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17MESUser17,,17MES,,User17,,,01017,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MESUser18,,18MES,,User18,,,01018,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19MESUser19,,19MES,,User19,,,01019,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20MESUser20,,20MES,,User20,,,01020,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21MESUser21,,21MES,,User21,,,01021,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22MESUser22,,22MES,,User22,,,01022,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MESUser23,,23MES,,User23,,,01023,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24MESUser24,,24MES,,User24,,,01024,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25MESUser25,,25MES,,User25,,,01025,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
