UID,Email,First,Middle Name,Last,Sex,Employee No,Badge No,Birth Date,Marital Status,Home Phone,Address1,Address2,City,State,Postal Code,Country,Status,Hire Date,Department,Position,Shift,Building,Reports To,Pay Type,Payroll No,Annual Base,Base Rate,SSN,Generation,Mobile Phone,Rehire Date,Ethnic Origin,Union Status,Contracted Employee,Default Cost Sub Type,Supplier,Contract Start Date,Track Time,Prevent Points,Main Menu Node,Termination Date,Last Hire Date,Pay Effective Date,Company Code,Employee Type,Vested Date,Termination Cause,Termination Category,Eligibility Date,Seniority Date,Common Name,Role,Position Effective Date,Backup Supervisor,User Only,User Note
02MESUser021,,02MES,,User02,,,01002,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03MESUser031,,03MES,,User03,,,01003,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04MESUser041,,04MES,,User04,,,01004,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05MESUser051,,05MES,,User05,,,01005,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06MESUser061,,06MES,,User06,,,01006,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07MESUser071,,07MES,,User07,,,01007,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08MESUser081,,08MES,,User08,,,01008,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09MESUser091,,09MES,,User09,,,01009,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10MESUser101,,10MES,,User10,,,01010,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11MESUser111,,11MES,,User11,,,01011,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12MESUser121,,12MES,,User12,,,01012,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13MESUser131,,13MES,,User13,,,01013,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MESUser141,,14MES,,User14,,,01014,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15MESUser151,,15MES,,User15,,,01015,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16MESUser161,,16MES,,User16,,,01016,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17MESUser171,,17MES,,User17,,,01017,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18MESUser181,,18MES,,User18,,,01018,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19MESUser191,,19MES,,User19,,,01019,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20MESUser201,,20MES,,User20,,,01020,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21MESUser211,,21MES,,User21,,,01021,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22MESUser221,,22MES,,User22,,,01022,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MESUser231,,23MES,,User23,,,01023,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24MESUser241,,24MES,,User24,,,01024,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25MESUser251,,25MES,,User25,,,01025,,,,,,,,,,Active,,Engineering,MES Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
